内容,作者,发布时间,转发数,评论数,点赞数,页码
"记者节快乐✨
今年一月预科寒假的时候在家闲不住所以去了塔城融媒体中心记者部帮忙，帮忙听听同期声、帮忙举举话筒，有时候写写稿件，大部分时间是跟着哥哥姐姐屁股后面跑采访。预科没学过专业课但最起码看到了最基础的新闻采编过程，也算有些收获。
趁我还没被现实捶打，趁我还没被现实打倒，希望我的 ​ 展开c",芝士鱼今天学英语了吗,2023年11月08日 09:30 ,2,10,0,25
#中国传媒大学# 音乐剧工作坊🥰 ​,窦玉晴_微博,2023年11月04日 17:32 ,1,13,0,26
"CUC秋日浪漫运作
2023年的秋天在中传遇见的色彩
有这一生都不会忘怀的斑斓
#中国传媒大学#中国传媒大学超话 2北京·中国传媒大学 L李逸也是麻花哥的微博视频 ​",花哥话不多,2023年11月04日 00:51 ,0,2,0,26
"#中传学实公开课#
爱与艺术在此刻碰撞❤️

由中国传媒大学与@爱奇艺 联合主办的“桃厂艺术家进校园”交流会在中国传媒大学广告博物馆圆满举行。艺术家们立足于同学们学习过程中真实存在的问题，真诚交流职业经历和心得体会，同学们积极发问，热情互动。点击下方视频回顾精彩瞬间✨

​ 展开c",广院学实交流会,2023年11月03日 16:12 ,4,15,0,26
"十月的最后一天
传子好快乐
音乐节既视感 我爱的凤凰传奇
好多漂亮姐姐呜呜呜
各种cos（周迅表情包：好多人啊）
附带两张我的作品哈哈哈哈哈哈哈#万圣节##中国传媒大学# 2北京·中国传媒大学 ​",来份蛋挞挞挞挞挞挞挞啊,2023年10月31日 23:12 ,0,7,0,26
"今天一天参加了本校的四个会议和座谈，学校学术活动越加丰富和多维。
其中，中国特色新闻传播学建设尤为紧迫，文理跨学科攻关也得到兄弟院校肯定。
#新闻传播学##中国传媒大学##校园宝藏地#
@中国传媒大学 2上海·华东师范大学中北校区 ​",中国传媒大学刘俊,2023年10月27日 21:25 ,2,15,0,26
"本科专业从艺术类变成了高考文化分直接录取，此时的感觉和2020年高考的时候得知北电摄影系和中戏文学系取消校考时一样略无言...

虽然这是个趋势，虽然感觉我的专业并无太多...艺术性😓。不过我还是觉得专业校考是双方进行选择的重要一环吧，无论是中传编导类、北电摄影系、中戏文学系以及其他。

恐 ​ 展开c",Yiheunmyo,2023年10月25日 12:39 ,1,9,0,26
"【重回母校故地重游vlog】占星师ezoey徐佩玲怀旧之旅来啦！
这次佩玲周末散步回到了母校，在中传度过的学生时光还是记忆犹新。那个时候脑子里有太多想法，感觉世界很大，都想去看看，而今八年匆匆过去，只觉得时光太快。
话不多说，怀旧之旅开始！
#十月小确幸# #vlog# #中国传媒大学# ​ 展开c",Ezoey徐佩玲,2023年10月24日 17:17 ,10,6,0,27
书迷朋友们！！！春春请到了月关大大！！！活动见下图，想参与就赶快报名吧！！！不能来到现场的书迷朋友们也可以在直播蹲TO签哦！！！还有巨巨巨好看的定制章！！！一定不要错过！！！北京超话#新书推送##中国传媒大学##作家##推文##好书推荐##读书打卡##网文##南宋异闻录# 2沈阳·辽宁出版集团 ​,春风文艺出版社,2023年10月24日 15:43 ,9,7,0,27
"【video clip】
我不信，视频剪成这样还能招募到被试？
中国传媒大学超话#中国传媒大学##剪辑##闪闪发光的同学# L柯柯suguoi的微博视频 ​",柯柯suguoi,2023年10月21日 12:04 ,15,16,0,27
有没有人想玩cosplay，你cos我上两天学，我出去play两天#中国传媒大学# 2北京·中国传媒大学 ​,天天开心呀o3o,2023年10月18日 11:21 ,4,6,0,27
"""热爱从不降温，时间和我都在往前走。”@若-阳 #中国传媒大学##大一新生# ​",窦玉晴_微博,2023年10月16日 16:15 ,4,9,0,27
#校园随手拍#中国传媒大学超话#中国传媒大学# 散落在校园里的宁静与美好值得被记录在青春。校园生活边角料，朋友之前的嬉闹，炙热滚烫的瞬间，未完待续的青春。 2北京·中国传媒大学 ​,柯学馆,2023年10月13日 15:28 ,1,6,0,27
