内容,作者,发布时间,转发数,评论数,点赞数,页码
感谢廖书记和张校长为我的研究生旅途画上圆满句号，感谢一路走来陪伴的每一个人。@中国传媒大学 #中国传媒大学##毕业典礼##大学##拨穗# 2北京 L董丽娜的声音世界的微博视频 ​,董丽娜的声音世界,2023-07-01 14:12 转赞人数超过30,4,106,0,38
"🐱🐱🐱
重磅！徐均朔领衔音乐剧《南墙计划》将于下周登陆保利剧院。
《南墙计划》讲述了要求儿子继承曲艺衣钵的父亲和坚持自己音乐梦想的儿子之间的故事。将亲子关系与时代文化命题一并杂糅，父子争执的背后是传统与先锋的对冲，更是代际之间不同的坚守。
一场关于“传统”与“传承”的反思与辩 ​ 展开c",猫咪文艺范儿,2023-06-30 23:21 转赞人数超过50,1,65,0,39
这学期杀青🎉#校园生活#中国传媒大学超话#播音主持##中国传媒大学# 2北京·中国传媒大学 ​,张珑璟,2023-06-30 23:11 转赞人数超过10,2,29,0,39
"中传👉北大
那么就是续上了考研超话#北京大学##中国传媒大学##录取通知书# 2北京·中国传媒大学 ​",旭山纪,2023-06-30 17:17 转赞人数超过100,20,267,0,39
"【普通的泪失禁一天】
舍友博导是🚢的研究生院院长，被任老师的寄语感动到：
心有向 行可往
心若适 行从容
#中国传媒大学##毕业季# ​",柯柯suguoi,2023-06-29 22:56 转赞人数超过10,3,25,0,39
#中传首位视障毕业生致辞# 6月28日北京，“愿我们心中有祖国河山社会大任”，全国首位视障播音硕士毕业发言，书记一路护送到典礼台。#校园青春不打烊# #中国传媒大学# L校园咨询君的微博视频 ​,校园咨询君,2023-06-29 12:20 转赞人数超过70,9,97,0,39
"有点适应忙碌
还能顺带快乐一会
#期末周##中国传媒大学# ​",Elaine孙雅琳,2023-06-21 22:18 转赞人数超过20,5,40,0,39
"联创海报和staff表完结喽！明天来看我们的片！传媒1500报和各个平台都会直播嘞！
#中国传媒大学#

感恩我的组员啊啊啊 ​​​ 2北京·中国传媒大学 ​",喝熬夹,2023-06-18 16:02 转赞人数超过30,5,53,0,40
"前几天在中传当了个评委及特别嘉宾，为同学们打打气✊🏻，希望我下一次去是可以入读。。。

#中国传媒大学##继续生命影响生命##邓智伟作品# 2北京·中国传媒大学 ​",邓智伟,2023-06-15 17:04 转赞人数超过100,29,187,0,40
语音发声✅ #中国传媒大学# ​,没有冰o3o,2023-06-15 12:05 转赞人数超过100,19,348,0,40
"期末周忙死了呜呜
#中国传媒大学# 2北京·中国传媒大学 LElaine孙雅琳的微博视频 ​",Elaine孙雅琳,2023-06-13 20:22 转赞人数超过10,4,102,0,40
#中国传媒大学# 嘿嘿嘿…… ​,李家旭旭旭旭,2023-06-08 21:28 转赞人数超过10,10,34,0,41
主持人是冯禧#种地吧##中国传媒大学# ​,花溪拉少,2023-06-08 20:16 转赞人数超过10,6,28,0,41
"疯狂见明星的一天～
#中国传媒大学##与人民同行# 2北京·东亿天弘TV演播大厅 LElaine孙雅琳的微博视频 ​",Elaine孙雅琳,2023-06-07 08:46 转赞人数超过100,7,250,0,41
"毕业红毯
时间很紧妈妈觉得选的裙子不够满意
她说希望我每一步都不留遗憾 我就是妈宝女！
磨蹭大王得亏平来了帮我搞造型嘿嘿
和大家的合照待我细细修图再发
#毕业红毯##中国传媒大学##中国传媒大学信息与通信工程学院毕业晚会# ​",_啵啵公主,2023-06-04 01:11 转赞人数超过40,8,65,0,41
#中国传媒大学# 【中国传媒大学2023年度第三批公开招聘公告】 O中国传媒大学2023年度第三批公开招聘公告 ​,中国传媒大学,2023-06-03 20:27 转赞人数超过20,1,56,0,41
"“一致同意通过答辩，建议授予硕士学位。”
#毕业季##中国传媒大学#
#毕业论文答辩结束后的心情#
L常常常新宇的微博视频 2北京·中国传媒大学 ​",常常常新宇,2023-05-28 15:56 转赞人数超过40,15,77,0,42
大家都在偶遇王冰冰，可惜我不在学校啊啊啊啊啊！#中国传媒大学# #闪闪发光的同学# L高君雨的微博视频 ​,高君雨,2023-05-24 19:20 转赞人数超过80,13,166,0,42
"今日运动会🥉
#中国传媒大学# 2北京·中国传媒大学 ​",Elaine孙雅琳,2023-05-23 16:52 转赞人数超过2400,180,3317,0,42
"cv倒霉死勒超话#艺海佳音x中传echo配音社交流会# 梅梅配音经历之甲方乙方

阶段一
梅梅：小白的时候，自己脑子里对如何处理角色声音是不会有所设想的，甲方要什么给什么！

阶段二
我觉得我对戏的掌控能力还不错呀，我会有各种想法了。有时候去外面录音的时候，
甲方：你这儿应该来个这样的 ​ 展开c",中传ECHO配音社官方,2023-05-07 20:50 转赞人数超过100,43,166,0,43
"节前结束了前8周，每天都箭在弦上，中午很少有时间吃饭，周末很少有时间在家，每天也没有所谓正常上下班。每天常是七八个线头并进。
令人最舒心和尽全力的，终究还是那些课堂和纯真的笑容，以及与学生学科有关的事宜，例如4门本硕课程、招生与毕业，等等。君子务本，本立而道生。
#中国传媒大学# ​",中国传媒大学刘俊,2023-05-03 23:43 转赞人数超过10,10,36,0,43
中传ECHO配音社 X 艺海佳音交流会成功举办！感谢@艺海佳音_齐杰 、@陆揆--用心体验 、@倒霉死勒 、@配音演员_杜炎喆 四位老师与同学们分享了关于配音的专业知识、从业经验和配音心得，相信同学们一定收获满满～一起来回顾现场的精彩瞬间吧！#中国传媒大学##艺海佳音#配音齐杰超话配音陆揆超话 ​ 展开c,中传ECHO配音社官方,2023-04-29 15:04 转赞人数超过200,55,302,0,43
最近中传可真是太热闹了，又是免费看电影，又是免费大师课的，还有那么多活动，可惜偏偏我不在学校啊！话说，大家真的不考虑报考中传吗？#中国传媒大学# #闪闪发光的同学# L高君雨的微博视频 ​,高君雨,2023-04-27 09:31 转赞人数超过40,15,97,0,44
#中国传媒大学# 首位盲人研究生#董丽娜# ：“命运虽然给了我一双看不见明天的眼睛，但是它并没有给我一个看不见明天的未来！” ​,天空菌,2023-04-25 11:35 转赞人数超过100,12,116,0,44
"#开拍吧新星##中国传媒大学#
在中国传媒大学怎么拍小姐姐的敦煌变装？➡️ L斯那央初的微博视频 ​",斯那央初,2023-04-21 12:52 转赞人数超过10,6,17,0,44
去下面拍了一圈，这才是大学的氛围，年轻真好#中国传媒大学# L王小愚儿的微博视频 ​,王小愚儿,2023-04-20 12:36 转赞人数超过80,11,94,0,44
#中传考研# #中国传媒大学# 给大家留个作业：观看此视频，解释视频中所标注的音高符号的内涵。（如“B#5”中的字母、数字分别代表什么，以及日常所说的“四组”“五组”都代表什么。）（这是训练学习习惯非常好的方法。）O胡夏、林子祥《那些年(Live)》音高测量：你的那些年错过了多少呢，你还想错过吗？ ​,李家旭旭旭旭,2023-03-28 15:55 转赞人数超过10,4,21,0,45
"有笑有泪的一个晚上，谢谢热情的中国传媒大学同学们，感恩🤍

#继续生命影响生命##herethereeverywhere##邓智伟作品##dengzhiwei##中国传媒大学# 2北京·中国传媒大学 ​",邓智伟,2023-03-18 16:17 转赞人数超过100,26,126,0,45
"火箭少女101超话 🍯#张紫宁0309生日快乐#

【23.03.05 @张紫宁ZINING 相关采访更新
“女idol不能是学霸吗？偶像不能择偶，可以谈择偶观呀#张紫宁##女性智慧##中国传媒大学#”】 L炒人的麻將桌的微博视频 ​",炒人的麻將桌,2023-03-05 11:42 转赞人数超过20,0,34,0,46
"因为疫情带来了好多遗憾
我没有回到学校和朋友们一起拍毕业照 没有实现期待已久的毕业旅行 没有和我的老师们说再见
希望今年回北京可以再到CUC看看48教的海棠💐
中国传媒大学超话@中国传媒大学 #中国传媒大学# L_无敌小韩的微博视频 ​",_无敌小韩,2023-03-03 08:28 转赞人数超过10,3,14,0,46
"中传艺考线下三试来啦！
进入校园一起围观时隔三年的线下艺考吧~
祝各位23艺考生们金榜题名呀
#中国传媒大学# LHoveric的微博视频 ​",Hoveric,2023-02-24 13:14 转赞人数超过10,2,31,0,46
"十八秒回忆我的2022
#中国传媒大学##2022你最大的变化是什么##给2023捎个话# LElaine孙雅琳的微博视频 ​",Elaine孙雅琳,2022年12月31日 22:31 ,4,35,0,47
希望2023每个考试都能过过过～#考试季#杨幂超话#深圳大学##中国传媒大学##广东播音统考# 跨年go哈哈哈哈哈嘿嘿嘻嘻呕呕每个人都要开开心心 平平安安！！一切顺利，别再🐑咯 ​,妮妮_面薯麦堡,2022年12月31日 20:43 ,0,9,0,47
"#出走#
出走·070 - 金鸡奖得主 @李淼1127 ：曾经望海的人，正在成为大海🌊

从 #我不是药神# 时第一次入围 #金鸡奖# 提名，到凭借 #独行月球# 获得金鸡奖“最佳美术”，中间是在艺术之海上三年的航行，一千多日夜在习惯幕后工作的李淼来看，是积淀、坚定和细水长流⏱️流水不争先，争的是滔滔不绝， ​ 展开c",广院学实交流会,2022年12月27日 20:46,3,2,0,47
"#艺考##中国传媒大学##绿色通道# 中国传媒大学 绿色通道播音A表演B
耶耶耶耶
整装行囊 继续出发～ L王瑞萱萱的微博视频 ​",王瑞萱萱,2022年12月26日 16:40 ,56,378,0,47
"有收获 有遗憾 有思考 有实践
中传21高职摄影摄像班专业实训课程今天结课，同学们分组汇报各自的创作成果学习心得。理论学习与拍摄实践互补，个人练习与小组协作结合，每页ppt都值得品读，每部短片都可圈可点。受疫情影响，有限的几次线下课体会了专业导播，近期的线上课又实践了线上访谈制作。所幸同 ​ 展开c",祥子影像,2022年12月23日 22:32 ,0,5,0,47
"最近收到三本书📖

P1-6有幸参与福建省传播学会年会论坛，从老师和同学们的发言中学到很多前沿的思考，有种重回本科课堂的感觉，感谢论文能够入选论文集。
P7,近日收到福师大今年的开学迎新刊物《青年广场》，里面我给新生的留言也当做勉励自己吧；P8，收到初中学校新出版的校本读物，里面收录了自己 ​ 展开c",Gloria-Ming,2022年12月20日 23:01,9,27,0,47
"毕拍河3
好想回老区看看河南大学超话#河南大学##中国传媒大学##记录生活# 2开封·河南大学明伦校区-河南大学大礼堂 ​",维罗尼卡的花语,2022年12月16日 20:19 ,3,2,0,48
之前那期毕业小片发布后，很多粉丝宝宝就说很喜欢我说英语，那今天这期我就全程说英语，不看字幕，你能听懂几句呢？#英语学习# #中国传媒大学# L高君雨的微博视频 ​,高君雨,2022年12月16日 19:14 ,37,306,0,48
今天给你们分享一下我最近做的一件大事，那就是我给中传的宣传片配音啦！虽然大家看到的成片只有三分钟，但实际上可是花了20多天才完成的。视频里详细介绍了中传的招考规则，想报考中传的学弟学妹要仔细看哦！#中国传媒大学# #闪闪发光的同学# L高君雨的微博视频 ​,高君雨,2022年12月13日 18:53 ,35,266,0,48
怀念一些秋天的校园#校园##我的校园日常##中国传媒大学##播音生# 2北京·中国传媒大学 ​,张珑璟,2022年12月09日 22:16 ,1,10,0,48
"齐越节✅｜去年是幕后 今年是台前
分享一些齐越节参与的碎片🧩#日常碎片##闪闪发光的同学##播音生##中国传媒大学##日常碎片分享# 2北京·中国传媒大学 ​",张珑璟,2022年12月04日 17:41 ,2,13,0,48
大家早安呀！又到周末啦！用活力慢慢的早晨开启新的一天叭！#中国传媒大学##周六##周六快乐#中国传媒大学超话 ​,中国传媒大学微博协会,2022年12月03日 08:45 ,8,14,0,48
离校第一天嗯嗯不是很想念#中国传媒大学# L小黄84033的微博视频 ​,小黄84033,2022年11月28日 19:36 ,2,1,0,48
嘿嘿嘿嘿我就是每个平台都要发一遍#中国传媒大学# ​,他说不问钎里__,2022年11月27日 15:01 ,7,7,0,48
"还有20多天，23的考研儿们即将走进考场，在最后的备考阶段里，半夏会一直陪伴大家！
通过研究近两年的考题，我们发现，哲学目前主要以考察选择题、名词解释和简答题为主。选择题主要考察的是大家对概念的熟悉程度，而名词解释和简答题在判分时则需要根据采分点给分，因此就需要大家按照采分点来进行作 ​ 展开c",中传考研解读,2022年11月26日 22:54 ,8,9,0,48
"#读书节#
脚步丈量不到的地方，文字可以。我们一起从定式中脱离，来「塑乐园」读书节参加盛大的party💐
「读了个读」21天阅读打卡计划正式上线！在这里，有纸间的字斟句酌、思想的奇妙碰撞🗯️ 在众多「游客」中，谁会坚持最久、收获最多呢？我们将「乐园币」赋予每一个阅读者，最终更有「神秘奖 ​ 展开c",广院学实交流会,2022年11月26日 21:50,7,9,0,48
参加声音类比赛要注意哪些细节，你了解吗？千万别让这些细节拉低了你的作品哦！#中国传媒大学##大学生声音潮流季##评委##播音主持##配音##丁文山##陪伴我们长大的声音# L丁文山的微博视频 ​,丁文山,2022年11月15日 12:26 ,2,10,0,49
"下午学院的论坛，横跨艺术学、美学、人类学、文化学、传播学、科技发展、质化研究的议题，很朗阔。
中间，在“点评”两位发言者的间隙，顺利插空在另一个期刊论坛仓促发言，随后听了一段海龙老师@刘海龙 的发言。
#中国传媒大学##艺术学##新闻传播学# ​",中国传媒大学刘俊,2022年11月12日 21:20 ,3,29,0,49
中国传媒大学超话 📣快来看看CUC最佳人气单品——鸡蛋仔吧！颜值高还超好吃~#美食##鸡蛋仔##中国传媒大学##日常碎片plog# ​,中国传媒大学微博协会,2022年11月12日 10:43 ,5,11,0,49
"中国传媒大学超话 虽然冬已至 但我真的——
“好喜欢你，中传的秋。”🍂🍁#一条微博留住秋天##随手拍##中国传媒大学# ​",中国传媒大学微博协会,2022年11月10日 08:57 ,5,18,0,49
"【北京#朝阳区发现1名初筛阳性人员#】9月9日16：10分，朝阳区发现1名新冠肺炎初筛阳性人员，为中国传媒大学在校学生。朝阳区已第一时间启动应急响应，采取流调排查、管控和核酸检测等措施。下一步将根据流调最新情况及时进行通报。#北京朝阳通报1例初筛阳性#

在此提醒广大市民，积极响应全市就地过节 ​ 展开c",北京青年报,2022-09-09 20:36 转赞人数超过20,7,23,0,49
核桃林与柳树下，梧桐树与钢琴湖，开学第一课#中国传媒大学##祥视角##祥子影像# 2北京 ​,祥子影像,2020年09月09日 22:26 ,1,2,0,49
"如何选专业
社会语录精选#播音主持艺考##艺考##中国传媒大学##播音主持艺考##编导##表演# 2北京·艺水芳园 ​",播音酱-,2020年09月09日 15:06 ,0,2,0,50
"#中国传媒大学# #考研# #数字媒体艺术#

读完文学史，发现很多文学家的作品之所以千古流传，有一个原因是他们都受到了不公正待遇，并且他们利用手里的笔，借助各种艺术形态，把这种不平抒发了出来。

这大概就是“不平则鸣”的创作吧。

虽然文学史上也有贵族文学，但还是更喜欢那种历经沧桑而抒发的 ​ 展开c",广院印象,2020年09月08日 15:27 ,0,0,0,50
#艺考##中国传媒大学# 今天圆梦为大家介绍一位爱打游戏的优秀学员——田雨阳。在今年艺考中，圆梦学员田雨阳获得了中传艺术与科技（数字娱乐方向）全国第三名，高考文化课540分，如今已被中国传媒大学录取。 ​,武汉圆梦中传,2020年09月08日 08:16 ,1,1,0,50
"#中国传媒大学##开学第一天#
❤️好久不见呀，亲爱的宿舍
🌟新的一个学期
从“收拾宿舍”开始
旷别了八个月的宿舍
也发生了一些惊人的变化
让我们一起来看看吧～
O开学季丨好久不见呀，亲爱的宿舍 ​",中国传媒大学学生会,2020年09月07日 22:30 ,1,2,0,50
文艺不过传媒#中国传媒大学# ，京城竟然有这么安静美好的地方可以呆一整天，这个馆给100分，下次来可以考虑捐2本书。 2北京 ​,Running-cat,2020年09月07日 18:40 ,1,0,0,50
"中国传媒大学专业二大变革，勤思来帮你明确大纲思路
2021年中国传媒大学《材料论说文的写作》
价格：199元
课时：3课时 （1课时45分钟）
讲义资料：电子， 报名下载
从考查形式解读、写作框架、文字表达到案例分析，帮助大家
【汉语国际教育基础】的考试大纲今年变动很大，由20年的填空题、判断题、选 ​ 展开c",对外汉语教学-爱汉语,2020年09月07日 17:54 ,0,4,0,50
#播音艺考# 是不是有地方口音就学不好#播音主持# ？答案是否定的。就连母语不是中文的#外国留学生# ，普通话都如此标准，证明只要经过专业地训练，发声是可以改变的！只有想不到没有做不到的事情！#加油艺考生##中国传媒大学# L北京星干线艺考教育的微博视频 2北京·北京星干线艺术学校 ​,北京星干线艺考,2020年09月07日 16:03 ,1,0,0,50
"#中国传媒大学#考研超话#中传考研#

要给大家变着法的找到学习的内容和学习的感觉，实属不易。

大变革要有大智慧～

加油，9月

长期班，也继续欢迎大家加入。我们现在正在针对新大纲有针对性的学习～ ​",广院印象,2020年09月07日 11:47 ,0,2,0,50
"疯狂忙碌工作的四个月后
开学前江南之旅快乐告终
经过美景的洗涤心灵感受到平和与愉悦
新学期要加油鸭
#大学什么时候开学##中国传媒大学#9. 13 2苏州·金鸡湖 ​",洪DONGDONG,2020年09月06日 21:21 ,2,3,0,50
"可爱美丽大方！耶✌#中国传媒大学#
小露萁让给录视频，我演示给璐璐看了一遍，结果这货还是因为买东西给我忘了！ ​",快乐小神仙Lin,04月19日 23:47 ,0,2,0,6
"灵感环岛 | 怀揣白杨情怀，唱响青春旋律🎵

「灵感环岛」原创歌曲《传声不息》🧩

走过山川，河流，与沙漠；有过欢笑，泪水，与希望。我们跨越时间与距离，回到原点，共同唱起这段旋律✨️…

来源:音乐与录音艺术学院
节目导演:丁君君 陈怡雯 李楠
作曲:吴思彤 孟凡哲 冯伊承
作词:吴思彤 孟凡哲 ​ 展开c",中国传媒大学学生会,04月19日 20:25 ,0,2,0,6
｜专业咨询｜游戏创作与电竞策划｜是否三站换中传相关专业，学姐给出广电和游戏方向的专业难度及匹配度建议，以及如果真的要考初试的准备强度，边工作边考研还是得好好想一下再做决定，加油👏#中国传媒大学##中传# ​,中传A梦学姐,04月19日 18:14,0,0,0,6
"🐱🐱🐱
El Peso del Azucar (The Weight of Sugar)
Anton Bou
#猫咪星球##遇见艺术##中国传媒大学##首都师范大学# ​",猫咪星球北京分球,04月19日 12:40 ,0,0,0,6
#中国传媒大学# 偏是花打雨。 2北京·中国传媒大学 ​,林嵩Forrest,04月18日 15:22 ,1,1,0,6
传媒大学播音学院的学生来城市副中心探访副马最美赛道了！ 最美人间四月天，尽在通州运河边，马拉松起跑区的这三处景点是春日踏青的绝美去处，赶紧收藏起来吧！ #中国传媒大学##运河上的通州##马拉松##赛道# （中国传媒大学：吴彦宇）@北京通州发布 @中国传媒大学 L文旅通州的微博视频 ​,文旅通州,04月18日 11:04 ,1,4,0,6
"北京交通大学国际本科 SQAq3+1 学生收获

北交大SQA3+1 2025年第22届招生
特色专业：物流与供应链管理
学费： 7W/年
第一年在北交通唐山校区，第二、三年在北交通北京主校区

2025年秋季入学已开始报名，欢迎报名预约校测，为高考兜底 ～～～高考超话#高考##高考失利应不应该选择复读# ​ 展开c",applecugb,04月18日 10:05 ,3,1,0,6
中国传媒大学自考本科卡学位证是真的吗？#自考报名[话题]##自考本科##中国传媒大学# L启小航v的微博视频 ​,启小航v,04月17日 10:40 ,0,3,0,6
｜专业咨询｜音乐产业｜学姐给出详细的专业匹配度建议和分析之后，材料部分的重点部分也了解清楚了，就可以考虑一下是否报考，加油👏#中国传媒大学##中传# ​,中传A梦学姐,04月16日 22:47,0,0,0,6
"#中国传媒大学# 我的评分：
中国传媒大学超话 求助：请问中国传媒大学靠谱的助学点有哪个！ ​",小臾,04月16日 15:16 ,2,2,0,6
96年阿姨老板OOTD#美女##大长腿##中国传媒大学# ​,黄腔bo,04月12日 01:48 ,0,1,0,8
｜专业咨询｜27考研｜传媒经济学｜近两年这个方向的上岸难度在增加，了解清楚匹配度之后再谨慎考虑，大二的确还有准备的时间，学姐给出很多建议之后了解清楚了再好好加油！#中国传媒大学##中传考研# ​,中传A梦学姐,04月11日 16:20,0,0,0,8
"中国传媒大学2025年影视表演校考完整合格名单
#表演艺考##表演艺考生##艺考##中传艺考##中国传媒大学# 表演艺考生超话 ​",表演艺考表叔,04月11日 11:20 ,0,3,0,8
"经验贴 | 二战上岸广告学·Per Aspera Ad Astra
有经验~有好运~👉O网页链接
还有一大波经验贴在路上啦~
考研超话中国传媒大学考研超话#中国传媒大学##中传考研#中传考研超话#26考研#CUC中传考研超话#考研# ​",空了个格中传考研,04月11日 10:45 ,1,1,0,8
"【“灵感环岛”原创节丨灵感筑梦，创作不息💫】
当时间滴滴答答走到7点🕰，
在充斥着灵感魔法的文化广场🌌，
2025“灵感环岛”原创节文艺展演即将拉开帷幕🌷
多姿多彩的原创音乐🎶，
精彩的戏剧节目，
还有特邀嘉宾的倾情表演～
我们在4月10日19:00—21:30
于文化广场相约，
共赏原创魔法的 ​ 展开c",中国传媒大学学生会,04月11日 02:57 转赞人数超过1000,89,1146,0,8
#易烊千玺中国传媒大学VCR#妈呀好帅#中国传媒大学# ​,湖畔派小诗人_LakePoet,04月10日 23:46 ,0,1,0,8
#易烊千玺中国传媒大学VCR#宝宝你怎么能帅成这样#易烊千玺##中国传媒大学# ​,听夏念啵,04月10日 20:08 ,0,2,0,8
"｜🎉恭喜拟录取🎉｜中传海南国际设计学｜调剂上岸｜本科二本院校初试分数刚过国家线，一志愿也是双非，学生自己觉得肯定是个面试炮灰，找学姐了解了面试情况和关键上岸要素后，犹犹豫豫中还是选择跟学姐冲一晚复试辅导，上岸前熬成了潦草小狗，上岸后开心的能量满满[呲牙]
永远都要相信自己❤️ ​ 展开c",中传A梦学姐,04月10日 18:45,0,0,0,8
宝宝！！！！！！！#中国传媒大学# #易烊千玺#,啾易吖,04月10日 07:52 ,0,0,0,8
"易烊千玺超话 一点开学校公众号 惊现老公的帅脸！
谢谢宝宝为学校送上的祝福❤️
是东京小小的我首映礼那天的衣服
此刻 感觉你离我越来越近了
#中国传媒大学##易烊千玺# ​",Doey_9,04月09日 22:54 ,1,1,0,8
｜复试辅导一对一｜中传调剂｜区域国别学｜进步滴效率很快，之前学姐给出的优势建议都体现的不错，面试问答状态也很棒，只期待一个复试机会！冲呐！#调剂##中国传媒大学# ​,中传A梦学姐,04月08日 00:51,1,0,0,9
｜复试辅导一对一｜中传调剂｜区域国别学｜早早找学姐开始准备调剂，自我介绍定稿后，模拟练习和自我介绍熟练度还得继续优化，不容易滴，好好冲！#调剂##中国传媒大学# ​,中传A梦学姐,04月08日 00:42,0,0,0,9
｜复试辅导一对一｜中传调剂｜国际传媒教育学院新传｜早早就开始准备的学生，问答环节还得继续补充，加油加油👏#调剂##中国传媒大学# ​,中传A梦学姐,04月08日 00:37,1,0,0,9
｜专业咨询｜中传调剂｜广告学院设计专硕｜调剂报名之后，找学姐咨询复试准备，本科背景及作品情况学姐都给出了分析，可以先修改完善准备一下，加油加油！#调剂##中国传媒大学# ​,中传A梦学姐,04月08日 00:29,0,0,0,9
｜专业咨询｜中传调剂｜区域国别学｜一志愿也是不错的学校，调剂想冲一下中传，学姐给出跨考的准备方向建议及优势强化，可以早点准备起来，加油👏#调剂##中国传媒大学# ​,中传A梦学姐,04月07日 21:44,0,0,0,9
"她的101种职业，我想去看看她们的人生
#她的101种职业##重启人生##中国传媒大学##生活手记# L好友梦君的微博视频 ​",好友梦君,04月07日 02:02 ,0,3,0,9
｜复试辅导一对一｜中传调剂｜广告学院设计专硕｜作品集继续配合自我介绍调整，一稿一稿加油～作品集是最重要滴部分，冲！#调剂##中国传媒大学# ​,中传A梦学姐,04月06日 21:06,0,0,0,9
"🐱🐱🐱
Flora Neocomensis
Olga Cafiero
#猫咪星球##遇见艺术##中国传媒大学##首都师范大学# ​",猫咪星球北京分球,04月06日 20:40 ,0,0,0,9
"✅心·灵剧团！25届！李海鸣！
斩获！中国传媒大学表演第一名！
上海戏剧学院表演（木偶）全国第二十名！
天津市省统考表演第一名！
✅中戏!北电！尽情期待！
✅北京心·灵剧团部分成绩展示！
❤后续成绩！敬请期待！
#心灵剧团# #中国传媒大学 #艺考统考# 北京艺考机构#表演# L心·灵剧团的微博视频 ​",心·灵剧团,04月06日 20:01 ,2,3,0,9
｜专业咨询｜中传调剂｜国际传媒教育学院新传｜咨询问题直接copy学姐朋友圈了[呲牙]根据学生情况给出解答之后也是可以想一下要不要尝试，加油！#调剂##中国传媒大学# ​,中传A梦学姐,04月05日 23:52,1,0,0,9
｜专业咨询｜中传调剂｜广告学院设计专硕｜一志愿学生复试专业情况不错，迷之被淘汰，分数也不错，作品也有一定风格和优势，学姐给出中传调剂建议，抓住机会好好冲！如果成功那就是命中注定的反向调剂逆袭了[憨笑]#调剂##中国传媒大学# ​,中传A梦学姐,04月05日 23:47,0,0,0,10
｜复试辅导一对一｜中传调剂｜广告学院设计专硕｜自我介绍之前准备的比较混乱，不能太杂，也不能太故意贴合，学姐不断给出新的方向建议，还得继续加油改，冲！#调剂##中国传媒大学# ​,中传A梦学姐,04月05日 22:16,0,0,0,10
｜专业咨询｜中传调剂｜国际传媒教育学院新传类专业难度分析及匹配度建议，一打电话竟然是学生家长帮学生问，费心了[社会社会]，了解清楚情况后再考虑要不要尝试选择吧，加油👏#调剂##中国传媒大学# ​,中传A梦学姐,04月05日 19:14,0,0,0,10
美妆大神空降校园！中传同学秒变“春日元气脸”！明星化妆师 @春楠 走进 #中国传媒大学# ，上演“一支刷子搞定全脸”的魔法！现场不仅气氛嗨到爆，还狂撒福利！礼品拿到手软，同学们笑得比腮红还甜～果然，变美的路上，快乐和技巧一个都不能少~ L搜狐时尚的微博视频 ​,搜狐时尚,04月05日 09:51 ,7,7,0,10
｜复试辅导一对一｜中传调剂｜区域国别学｜调转方向冲区域国别了！出调剂前就找学姐提前准备复试辅导的学生，尽全力，不想放弃一丝希望，好好完善自我介绍和专业表达，第一年招生还是很有机会滴#调剂##中国传媒大学# ​,中传A梦学姐,04月04日 23:18,1,0,0,10
｜专业咨询｜中传调剂｜国际传媒教育学院新传类专业难度分析及匹配度建议，以及往年学姐带上岸的情况对比，还是要卷复试状态的，不是完全没胜算，好好加油！#调剂##中国传媒大学# ​,中传A梦学姐,04月04日 22:22,0,0,0,10
｜专业咨询｜中传调剂｜区域国别学今年第一年找调剂，学姐给出中传调剂复试流程及重点准备部分介绍和建议，还是有机会就要冲！#调剂##中国传媒大学# ​,中传A梦学姐,04月04日 21:52,1,0,0,10
｜专业咨询｜中传调剂｜一志愿top学校～咨询课更多的是帮学生复盘一志愿被淘汰的问题[呲牙]还是不太甘心调剂上岸～学姐也给出很多调剂专业的介绍，了解透彻之后好好考虑一下，加油❤️上岸不易～但也不要轻易“退而求其次”，冲！#调剂##中国传媒大学# ​,中传A梦学姐,04月04日 17:27,0,0,0,10
"#中传光合作用晨跑#
中国传媒大学“光合作用”晨跑活动第1⃣天！
早八困到眼皮打架？快来南操场加入这场“光合作用”！
年轻的“小白杨”迎着朝霞奔跑，鞋尖踢开薄雾，笑容点亮露珠，每一口呼吸都是春天的味道～
今天共有89名同学参与晨跑活动，总里程达147.49公里，相当于从北京到张家口；平均里程为 ​ 展开c",中国传媒大学学生会,04月03日 23:58 ,0,7,0,10
｜专业咨询｜中传调剂｜相比设计类大多数学生咨询的作品相关性，学生更担心初试分数的竞争度，分数不高怕过不了筛选，学姐给出复试及调剂准备的建议，作品和本科院校还是很有胜算的，还是要提前准备一下，中传一志愿高分都不是复试稳赢的保证，还是卷专业度的，加油👏#调剂##中国传媒大学# ​,中传A梦学姐,04月03日 22:10,0,0,0,10
"中传格莱美·慢放广院杯高光时刻！
球场上沸腾热血，慢镜头放大锋芒🔥这个体育文化月，中传各大学院球队技能加载完毕，速来选择你的入场动画——三分绝杀正中篮筐的期待，残影带风带球过人的动力，今夏必胜凯旋而归的决心……九宫格根本装不下这些神仙操作🏆
猜猜哪支队伍能C位出圈，一鸣惊人捧得广 ​ 展开c",中国传媒大学学生会,04月03日 19:02 ,2,18,0,11
"O网页链接
中国传媒大学考研考什么内容？「783主题写作&883人文社科基础」两门专业课是什么？中传为什么要考这几本书？想要考取研究生，我们需要具备什么样的素质与能力？专业课的评分标准是什么？如何才能考取高分？
六小时公开课带你听！ ​ 展开c",空了个格中传考研,04月03日 13:05 ,0,0,0,11
